epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_nll,val_ece,test_accuracy,test_nll,test_ece
1,1.2534494972229004,0.6606851851851852,0.6490612436930339,0.8175,0.6490612436930339,0.16541081635157268,0.803,0.6762747974872589,0.16573904886245727
2,0.9778340916457,0.7436296296296296,0.5836308638254801,0.8335,0.5836308638254801,0.1558413029909134,0.8256,0.6102879164218903,0.15277403485774993
3,0.9344207807823464,0.7577962962962963,0.5505756136576334,0.841,0.5505756136576334,0.14425566442807516,0.8348,0.5728467381477356,0.14616974415779113
4,0.9114501644946911,0.7648518518518519,0.5286231409708659,0.8451666666666666,0.5286231409708659,0.13507499845822651,0.8383,0.5540506597995758,0.13476814186573027
5,0.8922757939939145,0.7700370370370371,0.5098212852478027,0.8521666666666666,0.5098212852478027,0.13445602536201476,0.8441,0.5360387612342834,0.13207295246124268
6,0.8771022578168798,0.7744444444444445,0.4996043294270833,0.8518333333333333,0.4996043294270833,0.13187764104207356,0.8467,0.5238222942352295,0.13224709243774413
7,0.8627655741020486,0.778425925925926,0.4784413922627767,0.8596666666666667,0.4784413922627767,0.12876359339555105,0.8502,0.5032415083885193,0.12337452683448792
8,0.8508172150541234,0.7820370370370371,0.4726013406117757,0.8615,0.4726013406117757,0.12793659671147664,0.8567,0.4959497634887695,0.12855961258411408
9,0.8391170294373124,0.7845,0.477758430480957,0.8618333333333333,0.477758430480957,0.13342043566703796,0.857,0.4994599902153015,0.1346900131225586
10,0.8300601891941495,0.7878333333333334,0.4547569948832194,0.865,0.4547569948832194,0.12085083413124084,0.8614,0.47948387598991393,0.11969432497024536
