run_name,seed,dataset,label_noise,model,optimizer_variant,final_train_loss,final_val_accuracy,final_test_accuracy,best_val_test_accuracy,final_test_nll,final_test_ece,runtime_sec,peak_memory_mb,epochs,lr,weight_decay
fashion_mnist_noise0p1_standard_adamw_s0,0,fashion_mnist,0.1,standard,adamw,0.7842847256660461,0.869,0.8606,0.8623,0.4522194974899292,0.09879699301719666,51.03883887499978,195616.0,5,0.001,0.01
fashion_mnist_noise0p1_standard_adamw_clip_s0,0,fashion_mnist,0.1,standard,adamw_clip,0.7818732308635006,0.8725,0.8644,0.8607,0.4361320041656494,0.09516768207550048,52.4262275420042,216064.0,5,0.001,0.01
fashion_mnist_noise0p1_standard_kalman_lr_controller_s0,0,fashion_mnist,0.1,standard,kalman_lr_controller,0.8827360366362113,0.855,0.8424,0.8424,0.5254841920852661,0.12347894096374512,64.61309700000857,194304.0,5,0.001,0.01
fashion_mnist_noise0p1_standard_direction_aware_trust_s0,0,fashion_mnist,0.1,standard,direction_aware_trust,0.9175205150533605,0.8448333333333333,0.8324,0.8324,0.5642399345397949,0.13561438632011413,79.23732412498794,200672.0,5,0.001,0.01
fashion_mnist_noise0p1_standard_per_unit_filter_trust_s0,0,fashion_mnist,0.1,standard,per_unit_filter_trust,0.7913881706308435,0.8751666666666666,0.8613,0.8613,0.4305285683631897,0.0941655268907547,63.60713070900238,230032.0,5,0.001,0.01
fashion_mnist_noise0p1_standard_combined_kalman_trust_s0,0,fashion_mnist,0.1,standard,combined_kalman_trust,0.858483994519269,0.855,0.8452,0.8452,0.49888589277267453,0.11254582452774048,75.56059958299738,208448.0,5,0.001,0.01
fashion_mnist_noise0p1_standard_old_kalman_grad_scaling_s0,0,fashion_mnist,0.1,standard,old_kalman_grad_scaling,0.7853943435880872,0.8738333333333334,0.8627,0.8651,0.43667516951560975,0.09455508596897125,45.81881454199902,251152.0,5,0.001,0.01
fashion_mnist_noise0p1_standard_adamw_s1,1,fashion_mnist,0.1,standard,adamw,0.7143145244386461,0.8911666666666667,0.8809,0.8809,0.42367941150665284,0.1112505781173706,103.21361620799871,185808.0,10,0.001,0.01
fashion_mnist_noise0p1_standard_adamw_clip_s1,1,fashion_mnist,0.1,standard,adamw_clip,0.7114470739717836,0.8865,0.8765,0.8765,0.42672676811218263,0.10488004615306855,107.22867679200135,193504.0,10,0.001,0.01
fashion_mnist_noise0p1_standard_kalman_lr_controller_s1,1,fashion_mnist,0.1,standard,kalman_lr_controller,0.8300601891941495,0.865,0.8614,0.8614,0.47948387598991393,0.11969432497024536,133.11210333299823,220960.0,10,0.001,0.01
fashion_mnist_noise0p1_standard_direction_aware_trust_s1,1,fashion_mnist,0.1,standard,direction_aware_trust,0.8702753193643358,0.8556666666666667,0.8506,0.8506,0.5239541537284851,0.133790447306633,161.1060855419928,226912.0,10,0.001,0.01
fashion_mnist_noise0p1_standard_per_unit_filter_trust_s1,1,fashion_mnist,0.1,standard,per_unit_filter_trust,0.7200194074666059,0.8843333333333333,0.88,0.8801,0.4150333741188049,0.10199753510951996,116.43237541700364,293472.0,10,0.001,0.01
fashion_mnist_noise0p1_standard_combined_kalman_trust_s1,1,fashion_mnist,0.1,standard,combined_kalman_trust,0.8054679407720212,0.8716666666666667,0.8689,0.8689,0.4508308304309845,0.11036218900680542,136.9902480419987,304160.0,10,0.001,0.01
fashion_mnist_noise0p1_standard_old_kalman_grad_scaling_s1,1,fashion_mnist,0.1,standard,old_kalman_grad_scaling,0.7178300295582524,0.8845,0.8747,0.8747,0.43198842120170594,0.10057694296836853,82.95131379101076,228416.0,10,0.001,0.01
fashion_mnist_noise0p1_standard_adamw_s2,2,fashion_mnist,0.1,standard,adamw,0.71043882922773,0.888,0.8828,0.8767,0.40681880192756653,0.09392288680076599,94.51783533299749,261760.0,10,0.001,0.01
fashion_mnist_noise0p1_standard_adamw_clip_s2,2,fashion_mnist,0.1,standard,adamw_clip,0.7078948748729847,0.889,0.878,0.878,0.4184045513153076,0.09786451921463013,97.52524666699173,283440.0,10,0.001,0.01
fashion_mnist_noise0p1_standard_kalman_lr_controller_s2,2,fashion_mnist,0.1,standard,kalman_lr_controller,0.8182025191695602,0.8701666666666666,0.8596,0.8596,0.47555027403831485,0.12025301253795624,116.7751287919964,276960.0,10,0.001,0.01
fashion_mnist_noise0p1_standard_direction_aware_trust_s2,2,fashion_mnist,0.1,standard,direction_aware_trust,0.8638505632965653,0.863,0.8497,0.8497,0.5197598048210144,0.13378762910366057,141.91356204199838,303312.0,10,0.001,0.01
fashion_mnist_noise0p1_standard_per_unit_filter_trust_s2,2,fashion_mnist,0.1,standard,per_unit_filter_trust,0.7153671666427895,0.8918333333333334,0.8826,0.8826,0.40948522634506224,0.1055669054031372,111.98395362500742,258320.0,10,0.001,0.01
