model,batch_size,seed,mode,best_test_acc,baseline_best_test_acc,best_delta,final_test_acc,baseline_final_test_acc,final_delta,final_trust_mean
mlp,16,0,confidence,0.958,0.9645,-0.006500000000000061,0.9505,0.9645,-0.014000000000000012,0.9833965339626767
mlp,16,0,entropy,0.9605,0.9645,-0.0040000000000000036,0.957,0.9645,-0.007500000000000062,0.9706371384234453
mlp,16,0,inverse_loss,0.958,0.9645,-0.006500000000000061,0.958,0.9645,-0.006500000000000061,0.9826121423426573
mlp,16,0,final_layer_align,0.96,0.9645,-0.0045000000000000595,0.9585,0.9645,-0.006000000000000005,0.16924814658891243
mlp,16,0,final_layer_align_mag,0.959,0.9645,-0.00550000000000006,0.956,0.9645,-0.008500000000000063,0.15316572273232798
mlp,16,0,ema_final_layer_align,0.9625,0.9645,-0.0020000000000000018,0.957,0.9645,-0.007500000000000062,0.11614385989641847
mlp,16,0,combined_simple,0.9605,0.9645,-0.0040000000000000036,0.9575,0.9645,-0.007000000000000006,0.12911589257088266
mlp,32,0,confidence,0.958,0.96,-0.0020000000000000018,0.9565,0.9475,0.009000000000000008,0.9808689598918806
mlp,32,0,entropy,0.961,0.96,0.0010000000000000009,0.953,0.9475,0.005499999999999949,0.970799852558907
mlp,32,0,inverse_loss,0.9595,0.96,-0.0004999999999999449,0.9595,0.9475,0.01200000000000001,0.9827674259530738
mlp,32,0,final_layer_align,0.963,0.96,0.0030000000000000027,0.932,0.9475,-0.015499999999999958,0.15882021302344107
mlp,32,0,final_layer_align_mag,0.9635,0.96,0.0035000000000000586,0.9635,0.9475,0.016000000000000014,0.12970270219107047
mlp,32,0,ema_final_layer_align,0.958,0.96,-0.0020000000000000018,0.95,0.9475,0.0024999999999999467,0.12684634198428046
mlp,32,0,combined_simple,0.9555,0.96,-0.0044999999999999485,0.9555,0.9475,0.008000000000000007,0.10916178548008415
mlp,64,0,confidence,0.9525,0.9615,-0.009000000000000008,0.951,0.96,-0.009000000000000008,0.9780733479675672
mlp,64,0,entropy,0.9615,0.9615,0.0,0.9615,0.96,0.0015000000000000568,0.9734557947368486
mlp,64,0,inverse_loss,0.959,0.9615,-0.0025000000000000577,0.959,0.96,-0.0010000000000000009,0.9791419810437142
mlp,64,0,final_layer_align,0.9585,0.9615,-0.0030000000000000027,0.956,0.96,-0.0040000000000000036,0.16028137489202174
mlp,64,0,final_layer_align_mag,0.962,0.9615,0.0004999999999999449,0.962,0.96,0.0020000000000000018,0.12043563170847318
mlp,64,0,ema_final_layer_align,0.947,0.9615,-0.014500000000000068,0.9445,0.96,-0.015499999999999958,0.16009771823883057
mlp,64,0,combined_simple,0.9555,0.9615,-0.006000000000000005,0.9545,0.96,-0.005499999999999949,0.10398854230735319
mlp,128,0,confidence,0.9505,0.9555,-0.0050000000000000044,0.9495,0.9555,-0.006000000000000005,0.9704065364851079
mlp,128,0,entropy,0.9585,0.9555,0.0030000000000000027,0.9585,0.9555,0.0030000000000000027,0.9562295801203016
mlp,128,0,inverse_loss,0.9505,0.9555,-0.0050000000000000044,0.9505,0.9555,-0.0050000000000000044,0.9705629231224597
mlp,128,0,final_layer_align,0.9575,0.9555,0.0020000000000000018,0.9565,0.9555,0.0010000000000000009,0.16785128257224258
mlp,128,0,final_layer_align_mag,0.9595,0.9555,0.0040000000000000036,0.9595,0.9555,0.0040000000000000036,0.11587611281535995
mlp,128,0,ema_final_layer_align,0.943,0.9555,-0.012500000000000067,0.943,0.9555,-0.012500000000000067,0.15593153899404363
mlp,128,0,combined_simple,0.957,0.9555,0.0014999999999999458,0.957,0.9555,0.0014999999999999458,0.0963100574805703
cnn,16,0,confidence,0.9815,0.981,0.000500000000000056,0.979,0.9785,0.0004999999999999449,0.988562574818545
cnn,16,0,entropy,0.983,0.981,0.0020000000000000018,0.9795,0.9785,0.0010000000000000009,0.9860816565118928
