epoch,train_loss,train_unweighted_loss,train_accuracy,trust_mean,trust_std,trust_min,trust_max,frac_at_min_trust,frac_at_max_trust,mean_confidence,mean_entropy,mean_loss,mean_alignment,mean_grad_norm,test_loss,test_accuracy,sample_trust_mode,batch_size,learning_rate,seed,model,run_name
1,0.6823862524297503,0.728549494240019,0.7805555555555556,0.08045464035280993,0.060915800323053985,0.05000000074505806,0.32833904395220986,0.7119278169014085,0.0,0.6657890337453761,0.7848673876322491,0.7236774215396021,0.09495593124712018,8.486533373174533,0.2820530512332916,0.9235,combined_simple,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_combined_simple_bs128_lr0p001_seed0
2,0.21260216188430786,0.24736471622520023,0.9266666666666666,0.09760613025913775,0.09723961746818582,0.05000000074505806,0.5056593825279827,0.6682658447346217,0.0,0.8947458334372077,0.20585506199531153,0.2473797096123158,0.06493942387743105,4.476697075534874,0.1928202987909317,0.943,combined_simple,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_combined_simple_bs128_lr0p001_seed0
3,0.1421738306151496,0.1606170160373052,0.9533333333333334,0.09839107390020935,0.09889897305360983,0.05000000074505806,0.5277064362881889,0.6694542253521126,0.0,0.9323999512363488,0.12979101190264797,0.16007001913139518,0.05720025062246222,2.9602024118665238,0.14553186798095702,0.9585,combined_simple,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_combined_simple_bs128_lr0p001_seed0
4,0.11005918769041698,0.129297650837236,0.964,0.10264846189341074,0.10860619122083758,0.05000000074505806,0.5629579693498746,0.6775968309859155,0.0,0.9482958585443632,0.09672288192619741,0.1283400805378464,0.06078668459462867,2.2217739618999857,0.15003592431545257,0.9525,combined_simple,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_combined_simple_bs128_lr0p001_seed0
5,0.09652278737558259,0.10259277105165852,0.9696666666666667,0.0976690573381706,0.1005453122123866,0.05000000074505806,0.5348994064498955,0.6863776411808712,0.0,0.9573590923363055,0.07897747588724317,0.10169382175614297,0.04880681878585421,1.9079630907992242,0.09098921491205693,0.9725,combined_simple,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_combined_simple_bs128_lr0p001_seed0
6,0.08219234495030509,0.08393206695053312,0.975,0.09878549861236358,0.10455699527347592,0.05000000074505806,0.5522747425965859,0.6907130278332133,0.0,0.9644949033226765,0.06632910479961986,0.08320117914970492,0.040906526541835825,1.6503810802815666,0.08774801814556121,0.9725,combined_simple,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_combined_simple_bs128_lr0p001_seed0
7,0.07283526876237657,0.07287237802479002,0.9777777777777777,0.09844708830957681,0.10551227477024978,0.05000000074505806,0.5758293455755207,0.7048415491278742,0.0,0.9685394243455269,0.05616929691652177,0.07295422294688686,0.04349034997096784,1.516194097592797,0.09636007100343705,0.9685,combined_simple,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_combined_simple_bs128_lr0p001_seed0
8,0.06508141467306348,0.058819648855262335,0.983,0.09748283039096375,0.1035901927717135,0.05000000074505806,0.5608256597753981,0.7064040496315754,0.0,0.9742747234626555,0.04917243212251596,0.06057939404936533,0.040688590835255216,1.2111089997728106,0.06636205840110779,0.9805,combined_simple,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_combined_simple_bs128_lr0p001_seed0
9,0.05957379060983658,0.05000281940235032,0.9837777777777778,0.09999680167562525,0.10991465032730303,0.05000000074505806,0.6003332595590135,0.7027948943661971,0.0,0.9765568568672932,0.04464375276223455,0.05058513772280388,0.049221025438795626,1.1236144409213267,0.06674826717376708,0.977,combined_simple,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_combined_simple_bs128_lr0p001_seed0
10,0.054865224248833125,0.048366041236453584,0.9851111111111112,0.09853226675743788,0.10812865585928232,0.05000000074505806,0.5963135617719569,0.7099031688461841,0.0,0.9783616997826268,0.0397505770948991,0.048545632485142896,0.04312230092407742,1.0676596191987184,0.07204893803596496,0.977,combined_simple,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_combined_simple_bs128_lr0p001_seed0
