epoch,train_loss,train_unweighted_loss,train_accuracy,trust_mean,trust_std,trust_min,trust_max,frac_at_min_trust,frac_at_max_trust,mean_confidence,mean_entropy,mean_loss,test_loss,test_accuracy,sample_trust_mode,batch_size,learning_rate,seed,model,run_name
1,0.25612988907429907,0.7260033927427397,0.7875555555555556,0.7568465533620077,0.2709199809832564,0.054559367900410445,0.9581044815110822,0.06892730496453901,0.016245567378528575,0.7545453539342745,0.43283421398265987,0.7242372417492224,0.34542748938128354,0.9255,confidence,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs64_lr0p001_seed0
2,0.0374874700208505,0.2532068359454473,0.9421111111111111,0.9314075666116485,0.19977697175233922,0.08822821408298843,0.9999999906999845,0.027105496456542758,0.08255762411347518,0.9303514082381066,0.08734584959052133,0.25367017958233967,0.19441348813660442,0.9525,confidence,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs64_lr0p001_seed0
3,0.024029536891314717,0.17486312561978898,0.9593333333333334,0.9533374520903783,0.16661819853945403,0.1278189832067236,1.0,0.019060283687943262,0.14609929079071005,0.952573020407494,0.054989400257006396,0.17478270426224124,0.14799218816048232,0.9635,confidence,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs64_lr0p001_seed0
4,0.01909416683432129,0.1391575258506669,0.9684444444444444,0.963455505404912,0.14564135204752945,0.16789893216803564,1.0,0.015957446808510637,0.20842198573105725,0.9628163453534986,0.04369261291485729,0.13886982929589003,0.116373671896843,0.971,confidence,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs64_lr0p001_seed0
5,0.016445943580888626,0.12491536647862651,0.9716666666666667,0.9679963229395819,0.13313946598011286,0.22390360895095143,1.0,0.013297872340425532,0.2598625886524823,0.967452124078223,0.0370913258330989,0.1245844799307743,0.10517229654488619,0.9735,confidence,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs64_lr0p001_seed0
6,0.01337484713509265,0.09927430701276495,0.9778888888888889,0.9747136877783646,0.1176326684125349,0.26115602445095143,1.0,0.011081560283687944,0.31035017734723735,0.9742697566113574,0.030319928495437964,0.0990144668224578,0.08814913693137351,0.9775,confidence,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs64_lr0p001_seed0
7,0.01212279774621129,0.08746443927122487,0.9802222222222222,0.9769967815554734,0.10849756226835257,0.30433380395068343,1.0,0.009219858161312468,0.366710992992347,0.9766087417906903,0.026982729553562054,0.0881899258779058,0.09862821156904102,0.9755,confidence,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs64_lr0p001_seed0
8,0.010161240116175679,0.07708295597498202,0.9822222222222222,0.9804216023032547,0.09982275586874152,0.33084906608606063,1.0,0.008599290782783894,0.38807624113475175,0.9800523202470008,0.022145201173422738,0.07779253398905037,0.08269043289101682,0.9795,confidence,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs64_lr0p001_seed0
9,0.009546086927875876,0.05926296019140217,0.9847777777777778,0.981929286151913,0.09237219737958269,0.37362854782465504,1.0,0.006382978726046305,0.41801861710582217,0.9816874367125491,0.022763509998520743,0.059495608813578515,0.10099046118045225,0.9715,confidence,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs64_lr0p001_seed0
10,0.0065068210282932136,0.047685814791954016,0.9892222222222222,0.987755280014471,0.06917313302854523,0.5123141439142802,1.0,0.005540780141843972,0.4879875884833911,0.9875289468055076,0.014904000817018674,0.047567442393565924,0.09458390847276314,0.977,confidence,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_confidence_bs64_lr0p001_seed0
