epoch,train_loss,train_unweighted_loss,train_accuracy,trust_mean,trust_std,trust_min,trust_max,frac_at_min_trust,frac_at_max_trust,mean_confidence,mean_entropy,mean_loss,mean_alignment,mean_grad_norm,test_loss,test_accuracy,sample_trust_mode,batch_size,learning_rate,seed,model,run_name
1,1.4086146155463324,1.272342440896564,0.5967777777777777,0.20383982402338108,0.18049183173078887,0.05000000074505806,0.6065655896361445,0.40651408467494266,0.0,0.41883007951185736,1.5125853217823404,1.2633067109215428,0.1132946314001587,6.503366363720155,0.3758427723646164,0.902,final_layer_align,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs128_lr0p001_seed0
2,0.457777159637875,0.2995629391140408,0.9155555555555556,0.19240045442547596,0.18290182066635347,0.05000000074505806,0.673551514115132,0.4505501758884376,0.0,0.8299135700078077,0.44191188333739695,0.29915188273913423,0.0832747103725101,5.384554335768794,0.1993258346915245,0.945,final_layer_align,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs128_lr0p001_seed0
3,0.31045821619033814,0.18256408924526638,0.9472222222222222,0.18917204712478208,0.17615106596913135,0.05000000074505806,0.6671543062572748,0.4378301056338028,0.0,0.8938595619000179,0.27887558097570714,0.18253198129610276,0.08623399757976893,3.4581370857399953,0.1611611738204956,0.9525,final_layer_align,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs128_lr0p001_seed0
4,0.2758731333679623,0.1417635132935312,0.9615555555555556,0.18102492476013346,0.17242494382908646,0.05000000074505806,0.6701280818858617,0.4496919013245005,0.0,0.9169554324217246,0.22550770997161595,0.1410519311755476,0.08127429406486557,2.61480518965654,0.13867919516563415,0.9565,final_layer_align,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs128_lr0p001_seed0
5,0.22297277449568112,0.10659335548347897,0.97,0.17127277376786085,0.167794572950249,0.05000000074505806,0.6749200124136159,0.48983274631097284,0.0,0.9340565582396279,0.18283423592507,0.10574753498527366,0.06887495631850521,2.1556730790877006,0.09419130462408065,0.9705,final_layer_align,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs128_lr0p001_seed0
6,0.18504768631193372,0.08439022127124998,0.9762222222222222,0.17206307762945203,0.17413345094717725,0.05000000074505806,0.691137475866667,0.49421214805522434,0.0,0.9464100649659063,0.14936182584980845,0.08413514206317109,0.06369995378272635,1.8712930612161125,0.07831793847680092,0.9745,final_layer_align,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs128_lr0p001_seed0
7,0.1804989544550578,0.0758785204357571,0.9747777777777777,0.17124988432501403,0.17311769157228335,0.05000000074505806,0.7031448508652163,0.49694102121071076,0.0,0.9514016315970623,0.12955868642934612,0.0764194647191276,0.061993182669590474,1.7116727862559573,0.09717602455615998,0.9665,final_layer_align,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs128_lr0p001_seed0
8,0.15902117665608723,0.06528518360190921,0.9822222222222222,0.16925668485567602,0.16709008151796503,0.05000000074505806,0.7002299033420186,0.48670774614307244,0.0,0.9569542533914808,0.11987205175027041,0.06620359559818892,0.06564996828010279,1.516526012353494,0.06833796289563179,0.978,final_layer_align,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs128_lr0p001_seed0
9,0.13329619556003147,0.05226509823401769,0.9846666666666667,0.16972322678062277,0.16627317047874693,0.05000000074505806,0.7157291056404651,0.4823063376923682,0.0,0.9646306012717771,0.10036893194200287,0.0525206115726434,0.06362490486484808,1.273773342790738,0.06054968819022179,0.979,final_layer_align,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs128_lr0p001_seed0
10,0.13875582262542513,0.05297865720258819,0.9846666666666667,0.17706652678234477,0.16991928629052472,0.05000000074505806,0.7150053549820269,0.4660211268445136,0.0,0.9652684011929472,0.09628207404428804,0.05295955548456437,0.0784684703488585,1.295656876664766,0.06539689534902572,0.977,final_layer_align,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_final_layer_align_bs128_lr0p001_seed0
