epoch,train_loss,train_unweighted_loss,train_accuracy,trust_mean,trust_std,trust_min,trust_max,frac_at_min_trust,frac_at_max_trust,mean_confidence,mean_entropy,mean_loss,test_loss,test_accuracy,sample_trust_mode,batch_size,learning_rate,seed,model,run_name
1,0.3800300179057651,0.9305360643333859,0.7232222222222222,0.675944204796368,0.28489473902843365,0.05080873870723684,0.9308731917973975,0.08532130282739518,0.010123239436619719,0.673295838312364,0.6247521310415066,0.9244317823732403,0.47091126918792725,0.9085,inverse_loss,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_inverse_loss_bs128_lr0p001_seed0
2,0.05508753349052535,0.3702213007873959,0.9122222222222223,0.9013236853438364,0.2415341594269578,0.05000000074505806,0.9999999890864735,0.04007482394890886,0.04672095074620045,0.8997561604204313,0.12393956888519542,0.37062251295002413,0.2927362956404686,0.934,inverse_loss,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_inverse_loss_bs128_lr0p001_seed0
3,0.035639385771420264,0.24227477727995977,0.9441111111111111,0.9344023524875372,0.20144743346412416,0.052255968025452654,1.0,0.026562500010493775,0.08703785211267606,0.9333633083692738,0.08339398034231764,0.24208146596038846,0.2074308517575264,0.954,inverse_loss,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_inverse_loss_bs128_lr0p001_seed0
4,0.025752367711729472,0.17841016359461678,0.9578888888888889,0.9516119721909644,0.1731718391389914,0.06630525643556891,1.0,0.018816021126760563,0.11899207763268914,0.9508602174235062,0.06135693223963321,0.17705718126200454,0.1942239961028099,0.957,inverse_loss,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_inverse_loss_bs128_lr0p001_seed0
5,0.020438604368103876,0.13919433929357264,0.9683333333333334,0.9620353831371791,0.1509527997704039,0.09908404390157109,1.0,0.015074823943661973,0.16263204225352113,0.9614589046424543,0.04978801965923377,0.13793662250120664,0.11449188168346881,0.973,inverse_loss,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_inverse_loss_bs128_lr0p001_seed0
6,0.01621686144711243,0.11454272812894649,0.9741111111111111,0.9690480727544972,0.13882087133037793,0.08071811292582834,1.0,0.012544014084507043,0.1980193660292827,0.9685502153047374,0.03920268251652449,0.1134556920897268,0.10124033841490745,0.974,inverse_loss,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_inverse_loss_bs128_lr0p001_seed0
7,0.014722103183468184,0.09891202592187458,0.976,0.971713254989033,0.1310941165864048,0.09728515142915954,1.0,0.011465669019331395,0.23435299287379627,0.9712583212785317,0.03563245233725494,0.09989370071840747,0.1292663950920105,0.965,inverse_loss,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_inverse_loss_bs128_lr0p001_seed0
8,0.01222528811958101,0.08725854027271271,0.9814444444444445,0.9767527706186536,0.11735427808541228,0.12772235447462177,1.0,0.010145246484120128,0.2531029930416967,0.97634374507716,0.02974383981609848,0.09106821833099697,0.09037125164270401,0.976,inverse_loss,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_inverse_loss_bs128_lr0p001_seed0
9,0.01132263956632879,0.07786408072710037,0.9824444444444445,0.9783227166659395,0.11277823847993998,0.15913774954601073,1.0,0.009044894371444071,0.3019806337608418,0.9779607855098348,0.027774631636033595,0.07863992042708355,0.08995118683204055,0.9775,inverse_loss,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_inverse_loss_bs128_lr0p001_seed0
10,0.01006075791352325,0.06948684157596693,0.9838888888888889,0.9809967875480652,0.1054105456446258,0.15968689007658354,1.0,0.007482394366197183,0.32037852095886016,0.9807013290029176,0.02433160924628167,0.06907745755710443,0.08125053749978542,0.977,inverse_loss,128,0.001,0,cnn,sample_trust_20260504_025508_cnn_inverse_loss_bs128_lr0p001_seed0
