epoch,train_loss,train_unweighted_loss,train_accuracy,trust_mean,trust_std,trust_min,trust_max,frac_at_min_trust,frac_at_max_trust,mean_confidence,mean_entropy,mean_loss,test_loss,test_accuracy,sample_trust_mode,batch_size,learning_rate,seed,model,run_name
1,0.5022776050037808,0.5022776050037808,0.8426666666666667,1.0,0.0,1.0,1.0,0.0,1.0,0.7538639263164068,0.5967890162100183,0.5013363383023451,0.16492918455600739,0.9535,none,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_none_bs64_lr0p001_seed0
2,0.13343397956424288,0.13343397956424288,0.9601111111111111,1.0,0.0,1.0,1.0,0.0,1.0,0.9319989550198223,0.1595829929760162,0.13352298309881214,0.09778485406190157,0.9665,none,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_none_bs64_lr0p001_seed0
3,0.08957462123367521,0.08957462123367521,0.9721111111111111,1.0,0.0,1.0,1.0,0.0,1.0,0.9527361109747109,0.10718663517676347,0.08949858918521844,0.08681019027531146,0.971,none,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_none_bs64_lr0p001_seed0
4,0.06213109642267227,0.06213109642267227,0.9803333333333333,1.0,0.0,1.0,1.0,0.0,1.0,0.9650958789155838,0.08228623355798265,0.062086045008866074,0.08183037760853767,0.9715,none,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_none_bs64_lr0p001_seed0
5,0.04810339836362335,0.04810339836362335,0.9843333333333333,1.0,0.0,1.0,1.0,0.0,1.0,0.9727959379236749,0.060970263344281954,0.04799199597546765,0.08671016731858254,0.97,none,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_none_bs64_lr0p001_seed0
6,0.03174297345926364,0.03174297345926364,0.9905555555555555,1.0,0.0,1.0,1.0,0.0,1.0,0.9807576245449959,0.046024312536027415,0.03167895659645821,0.06341870254115202,0.977,none,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_none_bs64_lr0p001_seed0
7,0.02872366069091691,0.02872366069091691,0.9898888888888889,1.0,0.0,1.0,1.0,0.0,1.0,0.982589657847763,0.038803138007271164,0.029009667822945836,0.062487381860613825,0.9795,none,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_none_bs64_lr0p001_seed0
8,0.022692055945595105,0.022692055945595105,0.9925555555555555,1.0,0.0,1.0,1.0,0.0,1.0,0.9865342932389983,0.03135833703311728,0.023089753072510693,0.07397186453454196,0.9765,none,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_none_bs64_lr0p001_seed0
9,0.017720423741576573,0.017720423741576573,0.9948888888888889,1.0,0.0,1.0,1.0,0.0,1.0,0.9891728733448272,0.026048488671402612,0.017677120327208924,0.06380081140063704,0.979,none,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_none_bs64_lr0p001_seed0
10,0.015507878488757544,0.015507878488757544,0.9952222222222222,1.0,0.0,1.0,1.0,0.0,1.0,0.9906931540644761,0.021341205214592793,0.015541188930555953,0.07577902944223024,0.9775,none,64,0.001,0,cnn,sample_trust_20260504_025508_cnn_none_bs64_lr0p001_seed0
