epoch,train_loss,train_unweighted_loss,train_accuracy,trust_mean,trust_std,trust_min,trust_max,frac_at_min_trust,frac_at_max_trust,mean_confidence,mean_entropy,mean_loss,test_loss,test_accuracy,sample_trust_mode,batch_size,learning_rate,seed,model,run_name
1,0.4269570745693313,0.9605299659305149,0.7208888888888889,0.6419529478314897,0.28662268803323765,0.05281988373944457,0.9274376381031224,0.08052376762662135,0.0034110915492957744,0.6394319347512554,0.7373918953915717,0.9617837377837006,0.4808344571590424,0.8885,confidence,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_confidence_bs128_lr0p001_seed0
2,0.06906120698981814,0.46720041926701866,0.8962222222222223,0.8781866011485248,0.26660866069961603,0.05000000074505806,0.9999999462718695,0.04986795775172576,0.030061619723556747,0.8762298427836995,0.1626456898282951,0.46531503143864617,0.43287477684021,0.9155,confidence,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_confidence_bs128_lr0p001_seed0
3,0.05301176931460699,0.3907379837036133,0.9177777777777778,0.9042526307240338,0.24155606896104947,0.05000000074505806,1.0,0.04141725353162053,0.0448063380334159,0.9025832498577279,0.1204317685374072,0.39301828305486225,0.389516211271286,0.9205,confidence,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_confidence_bs128_lr0p001_seed0
4,0.04256639761229356,0.33296817432675097,0.9326666666666666,0.9224574397987043,0.2195935915683357,0.05787832289934158,1.0,0.035651408450704226,0.06098151408975393,0.9209919135335466,0.09647871648341837,0.330016027899905,0.33084110045433046,0.928,confidence,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_confidence_bs128_lr0p001_seed0
5,0.03290783696207735,0.2727801441748937,0.9471111111111111,0.9386245306109039,0.19731071528414607,0.05427927167063028,1.0,0.029599471830985914,0.08047975353162054,0.9374203816266127,0.07515441085880911,0.27054195557261856,0.3300336085557938,0.936,confidence,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_confidence_bs128_lr0p001_seed0
6,0.029528200545244746,0.24873989989442957,0.9531111111111111,0.9455046846833027,0.186353174733444,0.06208277986922734,0.9999999966419918,0.027618838028169015,0.08032570422535211,0.9443720923343175,0.06670345722789496,0.2464594920362595,0.29671467357873915,0.9435,confidence,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_confidence_bs128_lr0p001_seed0
7,0.024204343607028327,0.20685848461257086,0.9624444444444444,0.9544176660792928,0.17261264147892805,0.054182836602271446,1.0,0.023239436624965196,0.10347711263408124,0.9534500686215682,0.05580826678221494,0.2091705574011299,0.275092023730278,0.944,confidence,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_confidence_bs128_lr0p001_seed0
8,0.02129370319346587,0.17797793414857652,0.9667777777777777,0.9604129514224092,0.15798938274383545,0.06606653248760062,1.0,0.01914612676056338,0.10160651404253195,0.9595858278408856,0.050565600657547026,0.17735386555883245,0.25614032346010207,0.9495,confidence,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_confidence_bs128_lr0p001_seed0
9,0.017993597000837327,0.15599943706724378,0.9714444444444444,0.9655951546951079,0.14925574264685873,0.07008956566872732,1.0,0.018507922540458157,0.11773767605633803,0.9648644454042676,0.044199550865401685,0.15595052021385078,0.2523425323367119,0.9505,confidence,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_confidence_bs128_lr0p001_seed0
10,0.015574146416866117,0.14031014585639867,0.9744444444444444,0.9704065364851079,0.13499185637059347,0.13486302465620176,1.0,0.01639524647887324,0.13745598592073985,0.969724673620412,0.037084146979933896,0.13898142987639237,0.24835400879383088,0.9495,confidence,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_confidence_bs128_lr0p001_seed0
