epoch,train_loss,train_unweighted_loss,train_accuracy,trust_mean,trust_std,trust_min,trust_max,frac_at_min_trust,frac_at_max_trust,mean_confidence,mean_entropy,mean_loss,mean_alignment,mean_grad_norm,test_loss,test_accuracy,sample_trust_mode,batch_size,learning_rate,seed,model,run_name
1,0.8878159026172426,0.5511146746344037,0.8345555555555556,0.2616200092154328,0.22376134814314055,0.05016668921015614,0.7173193589938047,0.3247113676731794,0.0,0.7097652789807447,0.7492415073656908,0.5507498953630403,0.1987109071613152,3.4829250423776954,0.29254815781116483,0.9155,final_layer_align,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_bs16_lr0p001_seed0
2,0.5690463774965869,0.21953832779328028,0.9353333333333333,0.23249600975911527,0.23432759305405998,0.050154622730205156,0.7852158860351434,0.41019094138543516,0.0,0.8742710645203057,0.33148108245424435,0.2196727251273383,0.160775224914771,1.8004983843008113,0.2484713147431612,0.9185,final_layer_align,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_bs16_lr0p001_seed0
3,0.49160123486651314,0.1508810460443298,0.9557777777777777,0.21128831270480028,0.2397908537415374,0.050087300051486726,0.8316288204006784,0.47679840142095914,0.0,0.9146259846314656,0.2192020259440263,0.15093417782055257,0.13794886370455817,1.2681163380031688,0.19587882651761174,0.9375,final_layer_align,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_bs16_lr0p001_seed0
4,0.4081260716519836,0.1068996939332121,0.968,0.20030261848790185,0.238369868396654,0.05000000074505806,0.8545380130436662,0.5051065719360568,0.0,0.9386482011149663,0.1544169958517101,0.10684700095885455,0.12968892089900153,0.9843806010632913,0.1592104887329042,0.9495,final_layer_align,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_bs16_lr0p001_seed0
5,0.3010087602024691,0.07089242094693085,0.9776666666666667,0.19318668421218915,0.24633980684022072,0.05000000074505806,0.8883326282297951,0.5462921847246892,0.0,0.9584173448979325,0.10137530535767202,0.07107142732808694,0.1192593807189148,0.7238494394426473,0.18253816047403962,0.952,final_layer_align,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_bs16_lr0p001_seed0
6,0.27068762283948145,0.0573046789922648,0.9824444444444445,0.18848715666979288,0.24483420272385883,0.05000000074505806,0.893121540969896,0.5811500888099467,0.0,0.9684143262265207,0.07201440478666796,0.05725881337315559,0.11114431743644058,0.5875143352101952,0.16130512407328934,0.9575,final_layer_align,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_bs16_lr0p001_seed0
7,0.25794499215061983,0.05048225336757282,0.9847777777777778,0.18453867808910712,0.24435267627874446,0.05000000074505806,0.9010640159381643,0.5930284191829485,0.0,0.9730907150314291,0.060638856676450165,0.050442580847340705,0.11219358786139935,0.5082432389729549,0.18834535495890303,0.9525,final_layer_align,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_bs16_lr0p001_seed0
8,0.22371192224533298,0.04106704596653193,0.9865555555555555,0.17599803708215803,0.24786904041339405,0.05000000074505806,0.9227674103227856,0.6374333925399644,0.00011101243339253997,0.9792601808138046,0.04366338080662463,0.041031450155347704,0.10450930117925573,0.43825027028174796,0.16157657267712056,0.96,final_layer_align,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_bs16_lr0p001_seed0
9,0.17243163353525517,0.030357813980009977,0.9904444444444445,0.17307981753433999,0.24919593598872264,0.05000000074505806,0.9270748291727069,0.6654085257548845,0.0003330373001776199,0.9840634105260588,0.03432787616569594,0.03033124581504948,0.10484945263773977,0.3469403588757263,0.16781380742837793,0.9595,final_layer_align,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_bs16_lr0p001_seed0
10,0.12668755272095505,0.02130065662561942,0.993,0.16924814658891243,0.24707313660088906,0.05000000074505806,0.931120373427762,0.6753996447602132,0.00011101243339253997,0.9875916486099813,0.028603327578023308,0.02128184299042552,0.1042330070592291,0.2565117460119515,0.18157677430803595,0.9585,final_layer_align,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_bs16_lr0p001_seed0
