epoch,train_loss,train_unweighted_loss,train_accuracy,trust_mean,trust_std,trust_min,trust_max,frac_at_min_trust,frac_at_max_trust,mean_confidence,mean_entropy,mean_loss,mean_alignment,mean_grad_norm,test_loss,test_accuracy,sample_trust_mode,batch_size,learning_rate,seed,model,run_name
1,0.9889143076340358,0.5590706466303932,0.8362222222222222,0.17293603870468496,0.16507972921137276,0.05000000074505806,0.5774498779862642,0.431949378330373,0.0,0.6990536955544199,0.7894701001169838,0.558668659540095,0.20343180439810452,3.500460804673325,0.30055503761768343,0.9125,final_layer_align_mag,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_mag_bs16_lr0p001_seed0
2,0.6722222961187363,0.2237834962507089,0.935,0.17519312097854767,0.20320193736845393,0.05000000074505806,0.7251922330996071,0.5297513321492007,0.0,0.8692504432231029,0.3507619679741707,0.22377833274406503,0.16459668429029137,1.8193371913678693,0.22943350999057294,0.925,final_layer_align_mag,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_mag_bs16_lr0p001_seed0
3,0.5652943921850787,0.1531080492751466,0.9543333333333334,0.1701094339705911,0.21890908758921904,0.05000000074505806,0.802806695866966,0.5860346358792184,0.0,0.9108921221687357,0.23096844512922937,0.1535045547860792,0.1430056329062258,1.3030720399973872,0.215229374691844,0.9405,final_layer_align_mag,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_mag_bs16_lr0p001_seed0
4,0.45405306249856947,0.10660778277036216,0.9685555555555555,0.1671028438935695,0.22301608268469308,0.05000000074505806,0.831827472888767,0.6142317939609236,0.0,0.9375195978589845,0.1603328353124894,0.10668436114529072,0.1332213978397248,0.9737123036707485,0.1545237111374736,0.955,final_layer_align_mag,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_mag_bs16_lr0p001_seed0
5,0.33978082963700096,0.06913011127048069,0.9784444444444444,0.1638654990660996,0.23410058209464138,0.05000000074505806,0.8817890903666007,0.6589698046181173,0.0,0.9596990029299449,0.10002072826424882,0.06909094119963913,0.12389272889767511,0.6935144088745487,0.18704609725112095,0.948,final_layer_align_mag,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_mag_bs16_lr0p001_seed0
6,0.32746289003257534,0.05783202071932869,0.9816666666666667,0.15767205416573937,0.23428890140823108,0.05000000074505806,0.9003952493887811,0.6871669626998224,0.0,0.9672800807503993,0.07674433896938408,0.05779967713076704,0.11159569996890495,0.5783593747475338,0.17443713272176684,0.9565,final_layer_align_mag,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_mag_bs16_lr0p001_seed0
7,0.22179242857025624,0.03786898763802148,0.9881111111111112,0.1555974170247996,0.23730140365991034,0.05000000074505806,0.9134294873973616,0.7121447602131439,0.0,0.9781003441946121,0.051116238974151,0.03784082384713713,0.10610215576054598,0.4051755669788949,0.18465539626567626,0.954,final_layer_align_mag,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_mag_bs16_lr0p001_seed0
8,0.2022433196128372,0.03501621007922545,0.9891111111111112,0.1546483558617519,0.23765283860067704,0.05000000074505806,0.9179269923410026,0.7161412078152753,0.0,0.9814008387536817,0.039670502505135735,0.03498559352690913,0.10496307424473085,0.38460846894609263,0.18330379806098063,0.959,final_layer_align_mag,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_mag_bs16_lr0p001_seed0
9,0.16331001951231156,0.025658633873946707,0.992,0.15760170316346797,0.2394728076182716,0.05000000074505806,0.9108458669528656,0.7196936056838366,0.0,0.9860480643716206,0.0311391377265025,0.02565389227554206,0.11220773377126582,0.29509117572194504,0.2590818951167748,0.944,final_layer_align_mag,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_mag_bs16_lr0p001_seed0
10,0.23342207677664958,0.037867604376301135,0.9868888888888889,0.15316572273232798,0.23960317639538067,0.05000000074505806,0.9257004164675413,0.7393428063943162,0.0,0.9813702179525927,0.03458644897341199,0.03783404455660817,0.10294787025204852,0.40250604881600127,0.2422424084303384,0.956,final_layer_align_mag,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_final_layer_align_mag_bs16_lr0p001_seed0
