epoch,train_loss,train_unweighted_loss,train_accuracy,trust_mean,trust_std,trust_min,trust_max,frac_at_min_trust,frac_at_max_trust,mean_confidence,mean_entropy,mean_loss,test_loss,test_accuracy,sample_trust_mode,batch_size,learning_rate,seed,model,run_name
1,0.42695706788698834,0.9605299634933472,0.7208888888888889,0.6419529473068009,0.28662268444239886,0.05281988573326191,0.9274376216278949,0.08052376762662135,0.0034110915492957744,0.6394319300290564,0.7373918964409493,0.9617837319071864,0.48083445596694946,0.8885,inverse_loss,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_inverse_loss_bs128_lr0p001_seed0
2,0.06906120847000016,0.4672004201147291,0.8962222222222223,0.8781865902349982,0.26660865272434664,0.05000000074505806,0.9999999462718695,0.04986795775172576,0.030061619723556747,0.8762298427836995,0.16264569339617876,0.46531503227814824,0.43287474715709684,0.9155,inverse_loss,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_inverse_loss_bs128_lr0p001_seed0
3,0.05301176910267936,0.3907379774517483,0.9177777777777778,0.9042526256870216,0.24155605573889236,0.05000000074505806,1.0,0.04141725353162053,0.0448063380334159,0.9025832456602177,0.12043176680593423,0.3930182757092194,0.38951619231700896,0.9205,inverse_loss,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_inverse_loss_bs128_lr0p001_seed0
4,0.04256640239391062,0.3329682125929329,0.9326666666666666,0.9224574162926472,0.2195935924078377,0.057878339689382365,1.0,0.035651408450704226,0.06098151408975393,0.9209919059780282,0.09647872162536836,0.33001606536268346,0.33084115815162657,0.928,inverse_loss,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_inverse_loss_bs128_lr0p001_seed0
5,0.03290783140559991,0.27278022848235234,0.9471111111111111,0.9386245146603651,0.19731071591377258,0.05427936480288774,1.0,0.029599471830985914,0.08047975353162054,0.9374203782686046,0.07515436515841685,0.27054203632222096,0.3300334995985031,0.936,inverse_loss,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_inverse_loss_bs128_lr0p001_seed0
6,0.029527713242504333,0.24874054696162542,0.9531111111111111,0.9455052589026975,0.18635343235563223,0.0620769868854066,0.9999999966419918,0.027618838028169015,0.08032570422535211,0.9443726858622591,0.06670184548891767,0.24646032491410283,0.2966948407292366,0.9435,inverse_loss,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_inverse_loss_bs128_lr0p001_seed0
7,0.024202196207311417,0.20684003180927701,0.9624444444444444,0.9544172043531713,0.1726168580877949,0.05414669226172944,1.0,0.02312940141369759,0.10358714784534884,0.9534495095132103,0.05580679812586643,0.2091336503205165,0.2753929437994957,0.944,inverse_loss,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_inverse_loss_bs128_lr0p001_seed0
8,0.021310995161533355,0.17797383878628412,0.9668888888888889,0.9603305920748644,0.15820970039972118,0.06548410727524422,1.0,0.019256161971830985,0.10050616192985588,0.9595041677985393,0.050678279486970165,0.17742673782500581,0.2550401121377945,0.95,inverse_loss,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_inverse_loss_bs128_lr0p001_seed0
9,0.017726321699718633,0.15451074617438845,0.9713333333333334,0.9659311821762945,0.1489966491788206,0.06887541894971484,1.0,0.017715669014084508,0.11751760563380281,0.9651992891875791,0.0437133903811935,0.1544023952643636,0.25123893600702285,0.9505,inverse_loss,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_inverse_loss_bs128_lr0p001_seed0
10,0.015487782928678724,0.13850736669450997,0.9746666666666667,0.9705629231224597,0.13447383333417312,0.13951212639959765,1.0,0.01639524647887324,0.13382482394890885,0.9698922155608594,0.03717301792504502,0.13721283426193495,0.24520534044504166,0.9505,inverse_loss,128,0.001,0,mlp,sample_trust_20260504_025508_mlp_inverse_loss_bs128_lr0p001_seed0
