epoch,train_loss,train_unweighted_loss,train_accuracy,trust_mean,trust_std,trust_min,trust_max,frac_at_min_trust,frac_at_max_trust,mean_confidence,mean_entropy,mean_loss,test_loss,test_accuracy,sample_trust_mode,batch_size,learning_rate,seed,model,run_name
1,0.44399362065891423,0.44399362065891423,0.8651111111111112,1.0,0.0,1.0,1.0,0.0,1.0,0.7860873026862661,0.4959230870273143,0.44366913053106194,0.24036002211272717,0.929,none,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs16_lr0p001_seed0
2,0.17279795166932874,0.17279795166932874,0.9443333333333334,1.0,0.0,1.0,1.0,0.0,1.0,0.9153367136977282,0.18705395362331642,0.17288167255667583,0.20608684112131595,0.9385,none,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs16_lr0p001_seed0
3,0.11216488411308577,0.11216488411308577,0.9644444444444444,1.0,0.0,1.0,1.0,0.0,1.0,0.9442367861791784,0.11752547861240659,0.11241554318946666,0.17286314168013633,0.948,none,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs16_lr0p001_seed0
4,0.06922622894035238,0.06922622894035238,0.9772222222222222,1.0,0.0,1.0,1.0,0.0,1.0,0.9631407252425199,0.08067519029231865,0.06917782975347311,0.19131817496404982,0.9445,none,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs16_lr0p001_seed0
5,0.05149361697865081,0.05149361697865081,0.9826666666666667,1.0,0.0,1.0,1.0,0.0,1.0,0.9727080534237105,0.056854666236247936,0.05160526617679161,0.21740305984090083,0.9525,none,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs16_lr0p001_seed0
6,0.04385916189613959,0.04385916189613959,0.987,1.0,0.0,1.0,1.0,0.0,1.0,0.9786699036298383,0.04297624905775657,0.04398369626609917,0.21256241481789037,0.951,none,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs16_lr0p001_seed0
7,0.04897725927473059,0.04897725927473059,0.9848888888888889,1.0,0.0,1.0,1.0,0.0,1.0,0.977621086749048,0.04209619705433144,0.048965812284991875,0.17863423858070746,0.96,none,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs16_lr0p001_seed0
8,0.020184166937188518,0.020184166937188518,0.9942222222222222,1.0,0.0,1.0,1.0,0.0,1.0,0.9891897745920117,0.02349847373297768,0.02019581056673028,0.20423129662897554,0.9555,none,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs16_lr0p001_seed0
9,0.024048908672795327,0.024048908672795327,0.9927777777777778,1.0,0.0,1.0,1.0,0.0,1.0,0.9890811465561495,0.02073537094403484,0.024027681662644216,0.2503664601963392,0.949,none,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs16_lr0p001_seed0
10,0.04163569235569028,0.04163569235569028,0.987,1.0,0.0,1.0,1.0,0.0,1.0,0.9819578419358438,0.030041823241156944,0.04159872248181282,0.21178107086912132,0.9645,none,16,0.001,0,mlp,sample_trust_20260504_025508_mlp_none_bs16_lr0p001_seed0
