run_name,sample_trust_mode,batch_size,seed,epochs,model,hidden_dim,learning_rate,weight_decay,min_trust,max_trust,lambda_loss,lambda_entropy,use_leave_one_out,train_size,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_acc,epoch_best_test_acc,final_trust_mean,final_trust_std,final_trust_min,final_trust_max,notes
sanity_none,none,32,0,1,mlp,64,0.001,0.0,0.05,1.0,1.0,1.0,False,230,2.273141634982565,0.24347826086956523,2.2347558736801147,0.36328125,0.36328125,1,1.0,0.0,1.0,1.0,ordinary_nn_samplewise_trust
sanity_confidence,confidence,32,0,1,mlp,64,0.001,0.0,0.05,1.0,1.0,1.0,False,230,2.2675115937772006,0.22608695652173913,2.23969766497612,0.31640625,0.31640625,1,0.10397804714739323,0.008045252703595906,0.08607491292059422,0.11762145441025496,ordinary_nn_samplewise_trust
sanity_entropy,entropy,32,0,1,mlp,64,0.001,0.0,0.05,1.0,1.0,1.0,False,230,2.2731415541275686,0.24347826086956523,2.234645903110504,0.36328125,0.36328125,1,0.10031535103917122,7.991991969902301e-05,0.10019517131149769,0.10053906124085188,ordinary_nn_samplewise_trust
sanity_inverse_loss,inverse_loss,32,0,1,mlp,64,0.001,0.0,0.05,1.0,1.0,1.0,False,230,2.267511626948481,0.22608695652173913,2.2396976351737976,0.31640625,0.31640625,1,0.10397804994136095,0.008045250724535435,0.08607491198927164,0.11762144789099693,ordinary_nn_samplewise_trust
sanity_final_layer_align,final_layer_align,32,0,1,mlp,64,0.001,0.0,0.05,1.0,1.0,1.0,False,230,2.29846424019855,0.14347826086956522,2.270854264497757,0.17578125,0.17578125,1,0.23852495104074478,0.19694450497627258,0.06672202190384269,0.5765385180711746,ordinary_nn_samplewise_trust
sanity_final_layer_align_mag,final_layer_align_mag,32,0,1,mlp,64,0.001,0.0,0.05,1.0,1.0,1.0,False,230,2.2942808482957924,0.16521739130434782,2.2656861543655396,0.23828125,0.23828125,1,0.12943437602370977,0.093344796448946,0.053941772785037756,0.31089286506175995,ordinary_nn_samplewise_trust
sanity_ema_final_layer_align,ema_final_layer_align,32,0,1,mlp,64,0.001,0.0,0.05,1.0,1.0,1.0,False,230,2.265435614793197,0.11739130434782609,2.287093073129654,0.11328125,0.11328125,1,0.13082389626652002,0.10435052309185266,0.05000000074505806,0.36697039008140564,ordinary_nn_samplewise_trust
sanity_combined_simple,combined_simple,32,0,1,mlp,64,0.001,0.0,0.05,1.0,1.0,1.0,False,230,2.273119992795198,0.24347826086956523,2.2346951365470886,0.36328125,0.36328125,1,0.050013421569019556,7.472366269212216e-05,0.05000000074505806,0.050429465249180794,ordinary_nn_samplewise_trust
sample_trust_20260504_025419_mlp_none_bs16_lr0p001_seed0,none,16,0,5,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.05149361697865081,0.9826666666666667,0.21740305984090083,0.9525,0.9525,5,1.0,0.0,1.0,1.0,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_none_bs16_lr0p001_seed0,none,16,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.04163569235569028,0.987,0.21178107086912132,0.9645,0.9645,10,1.0,0.0,1.0,1.0,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_mlp_confidence_bs16_lr0p001_seed0,confidence,16,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.008498460512153744,0.985,0.3710703595624957,0.9505,0.958,9,0.9833965339626767,0.05672987132096775,0.7759465283679496,1.0,ordinary_nn_samplewise_trust
