epoch=001 train_acc=0.9045 val_acc=0.9620 test_acc=0.9628 test_error=3.72% runtime=19.65s
epoch=002 train_acc=0.9640 val_acc=0.9695 test_acc=0.9715 test_error=2.85% runtime=20.95s
epoch=003 train_acc=0.9744 val_acc=0.9728 test_acc=0.9770 test_error=2.30% runtime=20.38s
epoch=004 train_acc=0.9796 val_acc=0.9753 test_acc=0.9789 test_error=2.11% runtime=19.90s
epoch=005 train_acc=0.9832 val_acc=0.9762 test_acc=0.9788 test_error=2.12% runtime=21.01s
epoch=006 train_acc=0.9841 val_acc=0.9788 test_acc=0.9792 test_error=2.08% runtime=20.57s
epoch=007 train_acc=0.9842 val_acc=0.9785 test_acc=0.9807 test_error=1.93% runtime=20.61s
epoch=008 train_acc=0.9839 val_acc=0.9800 test_acc=0.9809 test_error=1.91% runtime=20.47s
epoch=009 train_acc=0.9840 val_acc=0.9792 test_acc=0.9819 test_error=1.81% runtime=20.65s
epoch=010 train_acc=0.9833 val_acc=0.9783 test_acc=0.9803 test_error=1.97% runtime=20.37s
epoch=011 train_acc=0.9822 val_acc=0.9808 test_acc=0.9819 test_error=1.81% runtime=20.14s
epoch=012 train_acc=0.9816 val_acc=0.9795 test_acc=0.9812 test_error=1.88% runtime=19.52s
epoch=013 train_acc=0.9818 val_acc=0.9800 test_acc=0.9821 test_error=1.79% runtime=20.10s
epoch=014 train_acc=0.9807 val_acc=0.9800 test_acc=0.9816 test_error=1.84% runtime=20.54s
epoch=015 train_acc=0.9802 val_acc=0.9803 test_acc=0.9818 test_error=1.82% runtime=20.12s
epoch=016 train_acc=0.9804 val_acc=0.9798 test_acc=0.9832 test_error=1.68% runtime=20.02s
epoch=017 train_acc=0.9791 val_acc=0.9802 test_acc=0.9829 test_error=1.71% runtime=19.89s
epoch=018 train_acc=0.9781 val_acc=0.9813 test_acc=0.9810 test_error=1.90% runtime=20.51s
epoch=019 train_acc=0.9777 val_acc=0.9815 test_acc=0.9823 test_error=1.77% runtime=20.56s
epoch=020 train_acc=0.9778 val_acc=0.9802 test_acc=0.9822 test_error=1.78% runtime=20.06s
