epoch=001 train_acc=0.9199 val_acc=0.9632 test_acc=0.9630 test_error=3.70% runtime=32.56s
epoch=002 train_acc=0.9727 val_acc=0.9680 test_acc=0.9719 test_error=2.81% runtime=32.78s
epoch=003 train_acc=0.9828 val_acc=0.9747 test_acc=0.9755 test_error=2.45% runtime=31.35s
epoch=004 train_acc=0.9875 val_acc=0.9792 test_acc=0.9774 test_error=2.26% runtime=32.24s
epoch=005 train_acc=0.9900 val_acc=0.9777 test_acc=0.9767 test_error=2.33% runtime=37.50s
epoch=006 train_acc=0.9902 val_acc=0.9777 test_acc=0.9796 test_error=2.04% runtime=31.34s
epoch=007 train_acc=0.9891 val_acc=0.9780 test_acc=0.9788 test_error=2.12% runtime=25.82s
epoch=008 train_acc=0.9885 val_acc=0.9772 test_acc=0.9786 test_error=2.14% runtime=19.69s
epoch=009 train_acc=0.9887 val_acc=0.9788 test_acc=0.9813 test_error=1.87% runtime=19.58s
epoch=010 train_acc=0.9880 val_acc=0.9808 test_acc=0.9798 test_error=2.02% runtime=19.79s
epoch=011 train_acc=0.9869 val_acc=0.9795 test_acc=0.9804 test_error=1.96% runtime=19.90s
epoch=012 train_acc=0.9868 val_acc=0.9813 test_acc=0.9803 test_error=1.97% runtime=19.74s
epoch=013 train_acc=0.9863 val_acc=0.9800 test_acc=0.9798 test_error=2.02% runtime=19.89s
epoch=014 train_acc=0.9852 val_acc=0.9822 test_acc=0.9806 test_error=1.94% runtime=20.04s
epoch=015 train_acc=0.9845 val_acc=0.9800 test_acc=0.9792 test_error=2.08% runtime=19.88s
epoch=016 train_acc=0.9842 val_acc=0.9802 test_acc=0.9815 test_error=1.85% runtime=20.04s
epoch=017 train_acc=0.9828 val_acc=0.9818 test_acc=0.9826 test_error=1.74% runtime=20.08s
epoch=018 train_acc=0.9830 val_acc=0.9833 test_acc=0.9810 test_error=1.90% runtime=19.70s
epoch=019 train_acc=0.9817 val_acc=0.9803 test_acc=0.9806 test_error=1.94% runtime=19.90s
epoch=020 train_acc=0.9823 val_acc=0.9797 test_acc=0.9819 test_error=1.81% runtime=19.91s
