method,seed,epoch,train_loss,val_loss,test_loss,train_accuracy,val_accuracy,test_accuracy,test_error,epoch_runtime_seconds,cumulative_runtime_seconds,cpu_memory_mb,gpu_memory_allocated_mb,gpu_peak_memory_allocated_mb
standard_mlp,0,1,0.3026801823377609,0.1424032766024271,0.1291907281249761,0.9134444444444444,0.9551666666666668,0.9609,0.0391,2.958640083001228,2.962670207998599,467.34375,,
standard_mlp,0,2,0.1079840870389231,0.0908146281639735,0.0862064291622489,0.9668333333333332,0.9721666666666666,0.973,0.027,3.4528492919998826,6.423158540994336,470.1875,,
standard_mlp,0,3,0.0681967805668159,0.0897284564177195,0.073333830682747,0.9789074074074074,0.9728333333333332,0.9765,0.0234999999999999,3.4918526249966817,9.919539957998497,470.1875,,
standard_mlp,0,4,0.0499274825001204,0.079132897734642,0.0679619450010359,0.9841851851851852,0.978,0.9779,0.0221,3.3979657090021647,13.321089915996708,471.421875,,
standard_mlp,0,5,0.0367351325115671,0.0795398779511451,0.0721483686122577,0.9886296296296296,0.9765,0.9786,0.0213999999999999,3.711685834001401,17.036304249995737,472.6875,,
standard_mlp,0,6,0.0276517794800025,0.0712332122027874,0.070871574515698,0.9912222222222222,0.98,0.9794,0.0205999999999999,3.492654916997708,20.533098624997365,473.03125,,
standard_mlp,0,7,0.0209880465589187,0.0951964037120342,0.0838807259051129,0.9932037037037036,0.9753333333333334,0.9791,0.0209,3.6383172499990906,24.17546929099626,473.03125,,
standard_mlp,0,8,0.0168067722807603,0.0872748806327581,0.079703910285281,0.994462962962963,0.9771666666666666,0.9802,0.0198,3.657238125000731,27.83667012499791,473.03125,,
standard_mlp,0,9,0.0180530375516801,0.0867038270930449,0.0835129367467405,0.994074074074074,0.9791666666666666,0.9785,0.0214999999999999,3.531808459003514,31.373230375000276,473.03125,,
standard_mlp,0,10,0.0156127018093096,0.0899974127958218,0.0820808765337918,0.9948333333333332,0.9805,0.9801,0.0199,2.7428113749992917,34.12045966599544,473.03125,,
standard_mlp,0,11,0.0117967967605908,0.1060853659113248,0.0984499664393428,0.9962037037037036,0.9776666666666668,0.9789,0.0211,2.1485387920038193,36.27110816599452,473.03125,,
standard_mlp,0,12,0.0105775964193184,0.1156063805222511,0.1007278641932809,0.9962962962962963,0.9761666666666666,0.9774,0.0225999999999999,3.1379725000006147,39.411746874997334,473.03125,,
standard_mlp,0,13,0.0128113126481745,0.1092402881582578,0.0991885438278252,0.995574074074074,0.9776666666666668,0.9787,0.0212999999999999,3.452690791003988,42.866723624996666,474.234375,,
