run_name,seed,model,optimizer_variant,final_train_loss,final_val_accuracy,final_test_accuracy,best_val_test_accuracy,final_test_nll,final_test_ece,runtime_sec,peak_memory_mb,epochs,lr,weight_decay
standard_adamw_s0,0,standard,adamw,0.0366407447727742,0.9748333333333333,0.977,0.9782,0.07523542356239632,0.0207756315946579,34.590429353993386,388.09765625,5,0.001,0.01
standard_adamw_clip_s0,0,standard,adamw_clip,0.03502686306392705,0.978,0.979,0.979,0.0735954494423233,0.01996589422225952,35.030394914967474,451.359375,5,0.001,0.01
standard_kalman_lr_controller_s0,0,standard,kalman_lr_controller,0.16081953543645364,0.948,0.9526,0.9526,0.15621286985576152,0.04270406210422516,40.06653741101036,478.30859375,5,0.001,0.01
standard_per_unit_filter_trust_s0,0,standard,per_unit_filter_trust,0.053129373998553664,0.9731666666666666,0.9769,0.9763,0.07470353980921209,0.023581238549947738,32.992380667012185,483.69921875,5,0.001,0.01
standard_combined_kalman_trust_s0,0,standard,combined_kalman_trust,0.16294975806165624,0.948,0.9512,0.9512,0.15965152834057808,0.04111965715289116,31.286100937984884,516.8828125,5,0.001,0.01
standard_direction_aware_trust_s0,0,standard,direction_aware_trust,0.24019844302866195,0.9318333333333333,0.9319,0.9319,0.22916915364265442,0.05325014995336533,38.410956220002845,507.6953125,5,0.001,0.01
standard_old_kalman_grad_scaling_s0,0,standard,old_kalman_grad_scaling,0.03206061841602679,0.9778333333333333,0.9801,0.9807,0.06856658431664109,0.019743985289335252,28.07511269696988,434.0,5,0.001,0.01
standard_adamw_s1,1,standard,adamw,0.036805943642501476,0.9721666666666666,0.976,0.9753,0.07788850393432659,0.021766735398769377,28.686055873986334,387.8515625,5,0.001,0.01
standard_adamw_clip_s1,1,standard,adamw_clip,0.03593545348776711,0.9725,0.9771,0.9756,0.07478413428389467,0.020890170580148696,29.958605448016897,446.1953125,5,0.001,0.01
standard_per_unit_filter_trust_s1,1,standard,per_unit_filter_trust,0.05121854114311713,0.9725,0.9757,0.9757,0.07354391900496557,0.02416135230064392,32.47185079101473,480.3046875,5,0.001,0.01
standard_kalman_lr_controller_s1,1,standard,kalman_lr_controller,0.15779763378478862,0.9516666666666667,0.9556,0.9556,0.14748157368898393,0.038343089163303375,38.232112449011765,483.9375,5,0.001,0.01
standard_direction_aware_trust_s1,1,standard,direction_aware_trust,0.2389719520939721,0.9338333333333333,0.9349,0.9349,0.22565849130153656,0.054902819895744324,40.29634518397506,509.9296875,5,0.001,0.01
standard_old_kalman_grad_scaling_s1,1,standard,old_kalman_grad_scaling,0.03136911298555357,0.9746666666666667,0.9802,0.9802,0.06701259268987923,0.01964274663925171,28.93204159598099,435.63671875,5,0.001,0.01
standard_adamw_s2,2,standard,adamw,0.03740258734645667,0.977,0.9758,0.9774,0.08037259354330599,0.022331505900621416,29.094668424979318,386.57421875,5,0.001,0.01
standard_combined_kalman_trust_s1,1,standard,combined_kalman_trust,0.16071751646200816,0.9525,0.9544,0.9544,0.14864405630230904,0.04089285425543785,35.123772386985365,523.19140625,5,0.001,0.01
standard_adamw_clip_s2,2,standard,adamw_clip,0.03587516680194272,0.9773333333333334,0.9764,0.9764,0.07176530973166227,0.02128279004096985,30.94547707599122,452.453125,5,0.001,0.01
standard_kalman_lr_controller_s2,2,standard,kalman_lr_controller,0.15080688776351786,0.9533333333333334,0.9564,0.9564,0.14717474619746207,0.04019437271952629,34.78251241304679,483.13671875,5,0.001,0.01
standard_direction_aware_trust_s2,2,standard,direction_aware_trust,0.23354730615350935,0.932,0.9368,0.9368,0.219780238366127,0.05247707002162933,40.83086194697535,502.1796875,5,0.001,0.01
standard_per_unit_filter_trust_s2,2,standard,per_unit_filter_trust,0.052964658704068926,0.976,0.9765,0.9765,0.07637837592475116,0.022066226679086684,32.49554401397472,480.84765625,5,0.001,0.01
standard_old_kalman_grad_scaling_s2,2,standard,old_kalman_grad_scaling,0.032897113564665674,0.9768333333333333,0.9769,0.9769,0.07274449531855062,0.021536541467905044,28.415338279970456,432.0078125,5,0.001,0.01
standard_combined_kalman_trust_s2,2,standard,combined_kalman_trust,0.15527151211544318,0.9546666666666667,0.9569,0.9569,0.1448038091480732,0.03965043030977249,34.94642864097841,521.828125,5,0.001,0.01
