group,display,runs,mean_accuracy,std_accuracy,mean_error,std_error,best_accuracy,worst_accuracy,seeds
standard_trust_none,Standard MLP no trust,3,0.8808,0.0027999999999999852,0.11919999999999997,0.0027999999999999852,0.8828,0.8776,"0,1,2"
standard_trust_kalmanLayer_beta0.95_Q0.0001_P1.0_R1.0_arch_h800_l2_wide,Standard MLP + Kalman h800/L2,3,0.8808,0.0016822603841260553,0.11920000000000001,0.0016822603841260553,0.8821,0.8789,"0,1,2"
standard_trust_none_arch_h800_l2_wide,Standard MLP no trust h800/L2,3,0.8801,0.0033955853692699376,0.1199,0.0033955853692699376,0.8824,0.8762,"0,1,2"
standard_trust_kalmanLayer_beta0.95_Q0.0001_P1.0_R1.0,Standard MLP + Kalman,3,0.8777333333333334,0.0036665151483845247,0.12226666666666663,0.0036665151483845247,0.8799,0.8735,"0,1,2"
bayesian_trust_none,BBB no trust,3,0.8768666666666667,0.0026727015047201446,0.12313333333333332,0.0026727015047201446,0.8787,0.8738,"0,1,2"
bayesian_trust_kalmanLayer_beta0.95_Q0.0001_P1.0_R1.0,BBB + Kalman,3,0.8763,0.0007810249675906434,0.12369999999999999,0.0007810249675906434,0.8772,0.8758,"0,1,2"
bayesian_dropout_0p1_trust_none,BBB + Dropout no trust,3,0.8761,0.0007549834435271021,0.12390000000000001,0.0007549834435271021,0.8769,0.8754,"0,1,2"
bayesian_dropout_0p1_trust_kalmanLayer_beta0.95_Q0.0001_P1.0_R1.0,BBB + Dropout + Kalman,3,0.8751666666666666,0.00015275252316517785,0.12483333333333335,0.00015275252316517785,0.8753,0.875,"0,1,2"
dropout_trust_none,Dropout MLP no trust,3,0.8677,0.0013892443989449912,0.1323,0.0013892443989449912,0.8686,0.8661,"0,1,2"
dropout_trust_kalmanLayer_beta0.95_Q0.0001_P1.0_R1.0,Dropout MLP + Kalman,3,0.8654333333333333,0.0015275252316519481,0.1345666666666667,0.0015275252316519481,0.8671,0.8641,"0,1,2"
