epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_nll,val_ece,test_accuracy,test_nll,test_ece
1,1.0176216880657054,0.7252962962962963,0.49437866973876954,0.8533333333333334,0.49437866973876954,0.12506487822532653,0.8486,0.5253176396369934,0.12371429662704468
2,0.8749795313234683,0.7761296296296296,0.4837377955118815,0.8675,0.4837377955118815,0.14176649792989096,0.8607,0.509185786151886,0.1419276729464531
3,0.832909352461497,0.7880555555555555,0.4447861181894938,0.8648333333333333,0.4447861181894938,0.11407136223713557,0.8596,0.47069318137168886,0.11462624328136443
4,0.80821706950223,0.7970185185185186,0.42208378410339353,0.8783333333333333,0.42208378410339353,0.11189321060975392,0.8699,0.44441613688468934,0.10992490944862365
5,0.7895704234441121,0.800074074074074,0.41896005058288577,0.8795,0.41896005058288577,0.11583297463258108,0.8726,0.44013160090446474,0.11327520174980163
6,0.7698802290492588,0.8064074074074075,0.41187945048014324,0.8845,0.41187945048014324,0.1184443133076032,0.8754,0.43762677052021026,0.11418846497535706
7,0.7540448545879788,0.8089444444444445,0.38943339920043946,0.8843333333333333,0.38943339920043946,0.10272368534406026,0.8767,0.4085748552799225,0.10094644446372986
8,0.7407395032776727,0.8136851851851852,0.3946539109547933,0.8861666666666667,0.3946539109547933,0.11035276128848394,0.8759,0.41758737201690677,0.10341695284843445
9,0.7240559998794838,0.8181296296296297,0.3825144329071045,0.8793333333333333,0.3825144329071045,0.08913059902191162,0.8723,0.40072007579803465,0.08733989781141281
10,0.7114470739717836,0.8201666666666667,0.4045305970509847,0.8865,0.4045305970509847,0.10679050703843435,0.8765,0.42672676811218263,0.10488004615306855
