epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_nll,val_ece,test_accuracy,test_nll,test_ece
1,1.0076320312288072,0.7272962962962963,0.5120854981740316,0.8503333333333334,0.5120854981740316,0.12694857633113862,0.8436,0.5356874957084655,0.12305392026901245
2,0.870062769042121,0.7796296296296297,0.48742647298177083,0.8703333333333333,0.48742647298177083,0.1384027894337972,0.8557,0.5165700737953186,0.1329224792957306
3,0.8317938480023984,0.7887407407407407,0.4426058712005615,0.8785,0.4426058712005615,0.13371532611052195,0.8669,0.4714261861801147,0.132361528301239
4,0.806300574514601,0.7976296296296296,0.44196114667256675,0.8868333333333334,0.44196114667256675,0.14142994584639867,0.8734,0.4671205322742462,0.1346579074859619
5,0.7867203245162964,0.8024259259259259,0.4624904588063558,0.8811666666666667,0.4624904588063558,0.14674015947182972,0.8711,0.48887217741012573,0.14589463858604432
6,0.7704186295579981,0.8073888888888889,0.3959146979649862,0.8856666666666667,0.3959146979649862,0.1031593275864919,0.8747,0.42425899882316587,0.10223660743236541
7,0.7537011729699594,0.8100740740740741,0.44163674354553223,0.8903333333333333,0.44163674354553223,0.14854321972529094,0.8767,0.47205951414108277,0.1447985913515091
8,0.7394562383934303,0.8135370370370371,0.4351232255299886,0.8845,0.4351232255299886,0.13195574605464935,0.874,0.46168363614082336,0.12870632112026215
9,0.7240544546445211,0.8180555555555555,0.38560269292195637,0.8891666666666667,0.38560269292195637,0.1016791857878367,0.8826,0.4172391229629517,0.10418242583274841
10,0.71043882922773,0.8209814814814815,0.3807543970743815,0.888,0.3807543970743815,0.09322996121644973,0.8828,0.40681880192756653,0.09392288680076599
