epoch=001 train_acc=0.8778 val_acc=0.9508 test_acc=0.9568 test_error=4.32% runtime=2.53s
epoch=002 train_acc=0.9453 val_acc=0.9653 test_acc=0.9669 test_error=3.31% runtime=3.35s
epoch=003 train_acc=0.9573 val_acc=0.9708 test_acc=0.9704 test_error=2.96% runtime=3.73s
epoch=004 train_acc=0.9634 val_acc=0.9738 test_acc=0.9753 test_error=2.47% runtime=4.02s
epoch=005 train_acc=0.9678 val_acc=0.9760 test_acc=0.9762 test_error=2.38% runtime=4.53s
epoch=006 train_acc=0.9702 val_acc=0.9768 test_acc=0.9776 test_error=2.24% runtime=4.21s
epoch=007 train_acc=0.9727 val_acc=0.9793 test_acc=0.9805 test_error=1.95% runtime=3.75s
epoch=008 train_acc=0.9745 val_acc=0.9765 test_acc=0.9780 test_error=2.20% runtime=4.05s
epoch=009 train_acc=0.9759 val_acc=0.9803 test_acc=0.9807 test_error=1.93% runtime=3.90s
epoch=010 train_acc=0.9772 val_acc=0.9802 test_acc=0.9827 test_error=1.73% runtime=2.74s
epoch=011 train_acc=0.9793 val_acc=0.9808 test_acc=0.9827 test_error=1.73% runtime=2.87s
epoch=012 train_acc=0.9792 val_acc=0.9792 test_acc=0.9809 test_error=1.91% runtime=3.46s
epoch=013 train_acc=0.9810 val_acc=0.9788 test_acc=0.9823 test_error=1.77% runtime=3.82s
epoch=014 train_acc=0.9819 val_acc=0.9790 test_acc=0.9828 test_error=1.72% runtime=3.80s
epoch=015 train_acc=0.9826 val_acc=0.9807 test_acc=0.9836 test_error=1.64% runtime=3.89s
epoch=016 train_acc=0.9833 val_acc=0.9815 test_acc=0.9801 test_error=1.99% runtime=3.94s
epoch=017 train_acc=0.9825 val_acc=0.9832 test_acc=0.9838 test_error=1.62% runtime=3.89s
epoch=018 train_acc=0.9825 val_acc=0.9813 test_acc=0.9846 test_error=1.54% runtime=3.19s
epoch=019 train_acc=0.9837 val_acc=0.9830 test_acc=0.9831 test_error=1.69% runtime=2.95s
epoch=020 train_acc=0.9836 val_acc=0.9825 test_acc=0.9829 test_error=1.71% runtime=3.52s
