epoch=001 train_acc=0.9134 val_acc=0.9552 test_acc=0.9609 test_error=3.91% runtime=2.96s
epoch=002 train_acc=0.9668 val_acc=0.9722 test_acc=0.9730 test_error=2.70% runtime=3.45s
epoch=003 train_acc=0.9789 val_acc=0.9728 test_acc=0.9765 test_error=2.35% runtime=3.49s
epoch=004 train_acc=0.9842 val_acc=0.9780 test_acc=0.9779 test_error=2.21% runtime=3.40s
epoch=005 train_acc=0.9886 val_acc=0.9765 test_acc=0.9786 test_error=2.14% runtime=3.71s
epoch=006 train_acc=0.9912 val_acc=0.9800 test_acc=0.9794 test_error=2.06% runtime=3.49s
epoch=007 train_acc=0.9932 val_acc=0.9753 test_acc=0.9791 test_error=2.09% runtime=3.64s
epoch=008 train_acc=0.9945 val_acc=0.9772 test_acc=0.9802 test_error=1.98% runtime=3.66s
epoch=009 train_acc=0.9941 val_acc=0.9792 test_acc=0.9785 test_error=2.15% runtime=3.53s
epoch=010 train_acc=0.9948 val_acc=0.9805 test_acc=0.9801 test_error=1.99% runtime=2.74s
epoch=011 train_acc=0.9962 val_acc=0.9777 test_acc=0.9789 test_error=2.11% runtime=2.15s
epoch=012 train_acc=0.9963 val_acc=0.9762 test_acc=0.9774 test_error=2.26% runtime=3.14s
epoch=013 train_acc=0.9956 val_acc=0.9777 test_acc=0.9787 test_error=2.13% runtime=3.45s
epoch=014 train_acc=0.9956 val_acc=0.9780 test_acc=0.9794 test_error=2.06% runtime=3.57s
epoch=015 train_acc=0.9967 val_acc=0.9798 test_acc=0.9820 test_error=1.80% runtime=3.91s
epoch=016 train_acc=0.9979 val_acc=0.9795 test_acc=0.9804 test_error=1.96% runtime=4.59s
epoch=017 train_acc=0.9975 val_acc=0.9788 test_acc=0.9763 test_error=2.37% runtime=4.25s
epoch=018 train_acc=0.9959 val_acc=0.9782 test_acc=0.9807 test_error=1.93% runtime=4.09s
epoch=019 train_acc=0.9980 val_acc=0.9787 test_acc=0.9808 test_error=1.92% runtime=3.44s
epoch=020 train_acc=0.9962 val_acc=0.9807 test_acc=0.9799 test_error=2.01% runtime=2.85s
